,0
Points_position_HolStein,0.13787435203157636
Points_position_Lower_Saxony,0.04533488755202139
Points_position_Pomerania,0.209260386233918
Points_position_Brandeburg,0.1438657646489627
Points_position_Thuringia,0.05446583742374397
Points_position_Westphalia,-0.046233024994086214
Points_position_Rhineland,-0.04841020926818337
Points_position_Bavaria,-0.02475156169570815
Points_position_Baden,-0.03058793428049455
Points_position_Saxony,0.10482913674976965
Points_position_Anhalt,0.04905014392779902
Points_position_Hesse,-0.02599917025587823
wind_mean,0.06616201336690626
