trd_delivery_time_start,var,std
0,582.7071617402835,24.139328112859385
1,548.6782209803702,23.423881424315017
2,603.0664718463081,24.55741174974081
3,544.8558184104226,23.34214682522631
4,715.3017196551152,26.745125156841485
5,1499.6358534957535,38.725132065568914
6,1884.1194274724835,43.40644453848395
7,1890.9328667230907,43.484857901608585
8,2511.966896419893,50.119526099314754
9,1797.895022103804,42.40159221189464
10,1443.4130504897464,37.992276195165594
11,1227.8299357114108,35.04040433144873
12,1194.023652043905,34.55464732917853
13,1194.3789904639634,34.559788634538315
14,1142.0812526915724,33.794692670470795
15,1834.6160395472905,42.83241809129261
16,2979.715103467415,54.58676674311655
17,2102.127709135794,45.84896628208529
18,1861.1929550659206,43.1415455804022
19,1662.9848037426077,40.77971068733332
20,1461.6767759983059,38.23188166960012
21,1198.42218742039,34.618234897527486
22,1154.3923690860606,33.976350143681714
23,901.3975427928557,30.023283344645296
