Date,Region,Time,12,18,24,30
20200101,Points_position_HolStein,0,4.124778269790113,3.54587585455738,4.57010462321341,5.1404446652159095
20200101,Points_position_HolStein,12,4.70904893334955,5.542802965268493,6.518021762371063,5.9984442842251156
20200101,Points_position_Lower_Saxony,0,1.941998957656324,2.9576266480144113,2.410228753462434,4.045039086602628
20200101,Points_position_Lower_Saxony,12,2.945504850707948,4.165432130917907,3.873330295085907,4.804032052779803
20200101,Points_position_Pomerania,0,3.577741145156324,3.876331634586677,3.0810375455766916,3.8350590756163
20200101,Points_position_Pomerania,12,2.9596745437011123,4.295738374814391,4.684582889080048,4.630696023727069
20200101,Points_position_Brandeburg,0,2.025065897963941,2.046711273258552,1.9403648618608713,1.9723977139219642
20200101,Points_position_Brandeburg,12,2.0188557570800185,1.8529626484960318,1.6852542757987976,2.6853873384243343
20200101,Points_position_Thuringia,0,0.33154821302741766,1.6643374634440988,0.9764385465532541,1.4161213925108314
20200101,Points_position_Thuringia,12,0.8228203719481826,1.1078893300145864,2.119393527507782,2.6780821931606624
20200101,Points_position_Westphalia,0,2.280286311171949,2.364490814274177,1.1511192563921213,1.6177815487608314
20200101,Points_position_Westphalia,12,1.010429090820253,2.487554704770446,2.8488094210624695,2.8241088044887874
20200101,Points_position_Rhineland,0,1.3567690839990973,1.073984451359138,1.1739044431596994,2.4751385739073157
20200101,Points_position_Rhineland,12,1.9542099898681045,1.9206525441259146,1.8975841403007507,2.636601175094256
20200101,Points_position_Bavaria,0,2.073964594863355,3.094419784611091,2.5225181821733713,1.9762772610411048
20200101,Points_position_Bavaria,12,2.6812188094481826,1.7883969899266958,1.9740459322929382,2.2677809846645687
20200101,Points_position_Baden,0,1.5714583387598395,3.271572418278083,1.4287052396684885,2.026986031793058
20200101,Points_position_Baden,12,1.5561692183837295,2.1212045308202505,0.6279231905937195,1.7427298677212093
20200101,Points_position_Saxony,0,0.9931101789698005,2.8063185883220285,1.7520923856645823,2.580307870171964
20200101,Points_position_Saxony,12,2.653911299072206,2.4336415883153677,1.2974864840507507,3.304142679000506
20200101,Points_position_Anhalt,0,2.4220271101221442,3.519989318912849,4.540641808882356,4.082795052789152
20200101,Points_position_Anhalt,12,4.8585240310058,3.456525957211852,4.4578792452812195,4.608223642135272
20200101,Points_position_Hesse,0,2.465892313979566,2.802978820865974,2.8148975614458323,3.1330803921446204
20200101,Points_position_Hesse,12,3.121917433105409,2.9789601918309927,3.614327609539032,3.6482779634243343
20200102,Points_position_HolStein,0,6.43992696076748,5.995508013293147,7.480801641941071,7.9649047534912825
20200102,Points_position_HolStein,12,7.198777224868536,7.919061833876185,7.178581827436574,5.165817428613082
20200102,Points_position_Lower_Saxony,0,3.9043434646737296,4.8743188958615065,5.612490713596344,6.34214779548347
20200102,Points_position_Lower_Saxony,12,5.7579660676419735,6.13612001563888,5.457148187910207,3.8327295074705034
20200102,Points_position_Pomerania,0,4.703553059400292,4.9444101434201,5.750361502170563,6.264791456982493
20200102,Points_position_Pomerania,12,5.8654184602200985,6.275100881117396,6.438984506879933,4.737995315575972
20200102,Points_position_Brandeburg,0,1.2612770584237296,2.544561205431819,3.456208288669586,4.593297926709056
20200102,Points_position_Brandeburg,12,3.927140261977911,4.721594029921107,4.870815866743214,5.252393890405074
20200102,Points_position_Thuringia,0,3.1605995681893546,3.072797594591975,4.678082525730133,4.362285582348704
20200102,Points_position_Thuringia,12,4.085989978164434,5.425066167372279,6.171429270063527,6.553486038232222
20200102,Points_position_Westphalia,0,2.8915756729256827,3.119672594591975,4.602768957614899,5.849084822461009
20200102,Points_position_Westphalia,12,4.496968295425177,5.817747289198451,6.4932924445020035,6.935745407128707
20200102,Points_position_Rhineland,0,1.8452728775155265,3.372114000841975,5.0026732087135315,5.6721496265381575
20200102,Points_position_Rhineland,12,4.550551440566778,4.977169209974818,6.93709050968755,6.639631439233199
20200102,Points_position_Bavaria,0,1.6406258133065421,2.579912004992366,3.444214880466461,3.656608549878001
20200102,Points_position_Bavaria,12,3.6282568238675594,3.463415318983607,3.8458849127637222,4.8928281555417925
20200102,Points_position_Baden,0,0.37107167512294836,2.5172136407345533,3.4618197083473206,3.5885314624756575
20200102,Points_position_Baden,12,3.259722735732794,3.1373102011857554,5.225645654951222,5.442106414819136
20200102,Points_position_Saxony,0,0.7965668228280265,4.039743242785335,3.9831114411354065,5.5204467456787825
20200102,Points_position_Saxony,12,4.911179568618536,5.472706014174037,5.896181696210988,6.229536224389449
20200102,Points_position_Anhalt,0,4.9700897720467765,3.927728472277522,4.882275640964508,5.4342441242188215
20200102,Points_position_Anhalt,12,4.835154559463263,5.186777287977748,5.455973261152394,6.455171752953902
20200102,Points_position_Hesse,0,3.1688316848885734,3.925645647570491,4.16910845041275,5.462284056469798
20200102,Points_position_Hesse,12,4.566491153091192,4.968799764174037,5.766106241499074,5.95755784609355
20200103,Points_position_HolStein,0,7.216187421057839,5.298914003185928,7.600674694404006,9.684358030557632
20200103,Points_position_HolStein,12,7.942492019385099,9.607291147054639,8.62056890130043,7.864545779302716
20200103,Points_position_Lower_Saxony,0,5.356999341223855,4.765758561901748,5.145840710029006,6.249404340982437
20200103,Points_position_Lower_Saxony,12,5.077469360083342,6.487475320638623,8.046985298395157,4.330797152593732
20200103,Points_position_Pomerania,0,6.329754773352761,5.1314983842894435,5.581215923652053,7.381551176309586
20200103,Points_position_Pomerania,12,5.823851119726896,7.65403835469624,10.17595449090004,7.474060015752912
20200103,Points_position_Brandeburg,0,4.843352261756081,4.764446306042373,4.888459270820022,6.1247266829013824
